name;ring;quadrant;isNew;description;suggested by
Data Mesh;Assess;Techniques;FALSE; ;
Sustainable IT;Hold;Techniques;FALSE; ;
Polars;Hold;Languages and Frameworks;FALSE; ;
CDK;Hold;Platforms; FALSE; ;
Lets train humans instead;Hold;Techniques;FALSE; ;
Osint;Hold;Techniques;FALSE; ;
Hazelcast ML;Hold;Platforms; FALSE; ;
Destructive testing;Hold;Languages and Frameworks; FALSE; ;
Pachyderm;Hold;Tools; FALSE; ;
Azure Biceps;Hold;Languages and Frameworks; FALSE; ;
Perimeter security is dead;Hold;Techniques; FALSE; ;
